Date,Year,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
6/1/2004,2004,5,22,0,2
6/2/2004,2004,9,0,0,0
6/3/2004,2004,4,0,0,0
6/4/2004,2004,0,0,0,0
6/5/2004,2004,2,0,0,3
6/6/2004,2004,0,0,0,0
6/7/2004,2004,0,0,0,0
6/8/2004,2004,5,7,7,4
6/9/2004,2004,19,11,13,6
6/10/2004,2004,2,3,2,0
6/11/2004,2004,6,9,5,3
6/12/2004,2004,0,0,0,0
6/13/2004,2004,0,0,0,0
6/14/2004,2004,0,0,0,0
6/15/2004,2004,0,0,0,0
6/16/2004,2004,0,0,0,0
6/17/2004,2004,0,0,0,0
6/18/2004,2004,0,0,0,0
6/19/2004,2004,0,0,0,0
6/20/2004,2004,0,0,0,0
6/21/2004,2004,0,0,0,0
6/22/2004,2004,0,0,0,0
6/23/2004,2004,0,0,0,0
6/24/2004,2004,0,0,0,0
6/25/2004,2004,0,0,0,0
6/26/2004,2004,0,0,0,0
6/27/2004,2004,0,0,0,0
6/28/2004,2004,0,0,0,0
6/29/2004,2004,1,0,18,4
6/30/2004,2004,0,0,0,0
7/1/2004,2004,0,0,0,0
7/2/2004,2004,0,0,0,0
7/3/2004,2004,0,4,3.4,0
7/4/2004,2004,4,0,0,4
7/5/2004,2004,0,0,0,0
7/6/2004,2004,3,0,0,0
7/7/2004,2004,0,0,0,0
7/8/2004,2004,0,0,0,0
7/9/2004,2004,0,0,0,0
7/10/2004,2004,0,0,0,0
7/11/2004,2004,2,38,6,0
7/12/2004,2004,0,0,0,13
7/13/2004,2004,0,3,0,0
7/14/2004,2004,0,0,0,0
7/15/2004,2004,0,0,0,0
7/16/2004,2004,0,0,0,0
7/17/2004,2004,0,0,0,0
7/18/2004,2004,0,0,0,0
7/19/2004,2004,0,0,0,0
7/20/2004,2004,0,0,0,0
7/21/2004,2004,0,0,0,0
7/22/2004,2004,0,0,0,0
7/23/2004,2004,0,0,0,0
7/24/2004,2004,0,0,0,0
7/25/2004,2004,0,0,0,0
7/26/2004,2004,16,13,4,0
7/27/2004,2004,0,0,0,0
7/28/2004,2004,0,0,0,0
7/29/2004,2004,7,12,5,2
7/30/2004,2004,10,9,11,4
7/31/2004,2004,0,0,2,7
8/1/2004,2004,1,4,2,2
8/2/2004,2004,0,0,0,0
8/3/2004,2004,0,0,0,0
8/4/2004,2004,1,13,7,0
8/5/2004,2004,0,0,0,0
8/6/2004,2004,9,8,0,0
8/7/2004,2004,0,0,0,0
8/8/2004,2004,0,0,0,0
8/9/2004,2004,5,16,12,2
8/10/2004,2004,0,0,0,0
8/11/2004,2004,0,7,0,0
8/12/2004,2004,0,0,0,0
8/13/2004,2004,2,0,0,0
8/14/2004,2004,3,5,3,0
8/15/2004,2004,0,0,0,0
8/16/2004,2004,4,0,0,0
8/17/2004,2004,0,0,0,0
8/18/2004,2004,0,0,0,0
8/19/2004,2004,1,0,0,0
8/20/2004,2004,0,0,0,0
8/21/2004,2004,0,0,0,0
8/22/2004,2004,0,0,0,0
8/23/2004,2004,0,0,0,0
8/24/2004,2004,0,0,0,5
8/25/2004,2004,0,0,0,0
8/26/2004,2004,0,0,2,0
8/27/2004,2004,0,0,0,0
8/28/2004,2004,0,0,0,0
8/29/2004,2004,0,0,0,0
8/30/2004,2004,0,0,0,0
8/31/2004,2004,2,3,0,0
9/1/2004,2004,0,0,2,0
9/2/2004,2004,0,0,2,0
9/3/2004,2004,0,3,0,0
9/4/2004,2004,0,0,0,0
9/5/2004,2004,27,2,1,0
9/6/2004,2004,21,7,0,2
9/7/2004,2004,0,0,0,0
9/8/2004,2004,10,14,2,2
9/9/2004,2004,0,0,0,0
9/10/2004,2004,39,36,26,15
9/11/2004,2004,0,0,0,4
9/12/2004,2004,0,0,0,2
9/13/2004,2004,0,0,0,0
9/14/2004,2004,0,0,0,13
9/15/2004,2004,0,3,0,0
9/16/2004,2004,0,7,5,15
9/17/2004,2004,2,0,0,0
9/18/2004,2004,0,0,0,0
9/19/2004,2004,0,0,0,0
9/20/2004,2004,24,19,90,30
9/21/2004,2004,29,11,11,3
9/22/2004,2004,0,7,3,0
9/23/2004,2004,2,13,2,4
9/24/2004,2004,15,17,16,5
9/25/2004,2004,2,0,5,2
9/26/2004,2004,3,0,0,0
9/27/2004,2004,0,3,8,6
9/28/2004,2004,6,9,27,13
9/29/2004,2004,0,6,5,12
9/30/2004,2004,22,0,8,0
10/1/2004,2004,0,0,0,0
10/2/2004,2004,0,0,0,0
